repositoryName,mcrTags
sakaiproject/sakai,"[apache,api,github,provider,web]"
NationalSecurityAgency/emissary,"[cache,client]"
yahoo/fili,"[cache,client,dependency-injection]"
quarkusio/quarkus-workshops,[github]
spotify/folsom,"[cache,client]"
thomasdarimont/keycloak-extension-playground,"[admin,client]"
apache/incubator-inlong,"[github,spring,starter]"
magro/memcached-session-manager,"[cache,client]"
paypal/SeLion,"[io,plugin]"
andreschaffer/event-sourcing-cqrs-examples,[webservice]
GSI-CS-CO/chart-fx,"[junit,testing]"
jooby-project/jooby,"[amazon,aws,sdk]"
spring-cloud/spring-cloud-bus,"[junit,testing]"
vespa-engine/vespa,"[cache,client,dependency-injection,osgi]"
apache/geode,"[cache,client]"
Simba-cheng/ApacheCamelDemo,"[apache,camel]"
McFoggy/cssfx,"[junit,testing]"
lilishop/lilishop,"[github,spring,starter,time]"
AxonFramework/AxonFramework,"[junit,testing]"
trinodb/trino,[apache]
nuxeo/nuxeo,"[apache,platform,security,signing,tree,video]"
mybatis/mybatis-3,"[junit,testing]"
diegoceccarelli/json-wikipedia,[wiki]
JanusGraph/janusgraph,"[junit,testing]"
neo4j-contrib/cypher-dsl,"[junit,testing]"
eclipse/ditto,"[aggregation,eclipse]"
codelibs/elasticsearch-analysis-kuromoji-ipadic-neologd,[analyzer]
osalvador/ReplicaDB,"[junit,testing]"
inspire-software/yes-cart,"[apache,security]"
kiegroup/kogito-runtimes,"[elastic,event,monitoring]"
cnescatlab/sonar-cnes-report,[sonar]
inception-project/inception,"[bootstrap,jquery,ui,wicket]"
SonarSource/sonar-scanner-jenkins,"[jenkins,plugin,sonar]"
schemacrawler/SchemaCrawler,"[junit,testing]"
BatooOrg/BatooJPA,"[apache,commons,proxy]"
Graylog2/graylog2-server,[time]
DiscordSRV/DiscordSRV,[platform]
javaee/glassfish,"[api,ejb]"
dapeng-soa/dapeng-soa,"[api,github,service,soa,transaction]"
AddstarMC/Prism-Bukkit,[platform]
GoogleCloudPlatform/cloud-opensource-java,"[grpc,io,protocol,rpc,serialization]"
apache/atlas,"[apache,bridge,database,hadoop,hbase]"
corona-warn-app/cwa-server,"[junit,testing]"
ninjaframework/ninja,"[cache,client]"
Atmosphere/atmosphere,[compatibility]
apache/crunch,"[apache,database,hadoop,hbase]"
spotify/zoltar,[api]
debezium/debezium,"[io,server]"
adobe/S3Mock,"[junit,testing]"
HotswapProjects/HotswapAgent,"[apache,api,beans,module]"
manifold-systems/manifold,[testing]
quarkusio/quarkus,"[admin,client,deployment,io,jboss,json,provider,server,testing,token]"
94fzb/zrlog,"[html,parser]"
wso2/product-is,"[api,authentication,identity,server]"
jenkinsci/configuration-as-code-plugin,"[authentication,jenkins,matrix,plugin]"
gluonhq/gluon-samples,[logging]
TDuckCloud/tduck-platform,"[github,spring,starter]"
wso2/product-ei,"[api,scheduling]"
apache/bahir-flink,"[junit,testing]"
speedment/jpa-streamer,[analytics]
rieckpil/blog-tutorials,"[github,junit,testing]"
psiegman/epublib,"[html,parser]"
camunda/camunda-bpm-platform,"[jboss,netty,network,socket]"
apache/incubator-retired-edgent,"[analytics,android,apache,connector,http]"
goldmansachs/obevo,"[cli,command-line,google,parser]"
radargun/radargun,"[cache,client]"
wgzhao/Addax,"[apache,database,hadoop,hbase]"
apache/druid,"[cache,client]"
davetcc/tcMenu,"[junit,testing]"
confluentinc/parallel-consumer,"[junit,testing]"
oracle/oci-java-sdk,"[apache,sdk]"
apache/shardingsphere-example,"[codec,io]"
SonarSource/sonarlint-core,[sonar]
webanno/webanno,"[bootstrap,jquery,ui,wicket]"
brianfrankcooper/YCSB,"[cache,client]"
dgadiraju/code,"[apache,database,hadoop,hbase]"
dbs-leipzig/gradoop,"[apache,database,hadoop,hbase]"
jbosstm/narayana,"[jboss,metadata,osgi]"
Tanaguru/Tanaguru,"[html,parser]"
Asqatasun/Asqatasun,"[html,parser]"
hopshadoop/hops,"[cache,client]"
wildfly-swarm-archive/ARCHIVE-wildfly-swarm,"[build,build-system,gradle,groovy,module,plugin,runtime,webservice]"
gaia-app/gaia,"[junit,testing]"
spring-io/spring-javaformat,"[build,build-system,gradle,groovy,junit,plugin,testing]"
zalando/opentracing-toolbox,[annotations]
virjar/dungproxy,"[html,parser]"
JorelAli/CommandAPI,[platform]
jenkinsci/scm-sync-configuration-plugin,"[build,build-system,google,maven,provider,scm]"
eclipse/paho.mqtt.java,"[client,eclipse,plugin]"
kubernetes-client/java,"[annotations,builder,io]"
Blackdread/sql-to-jdl,"[junit,testing]"
resteasy/resteasy,"[container,embedded,jboss,jetty,json,provider,server,webserver]"
vinsguru/vinsguru-blog-code-samples,[github]
apache/samza-hello-samza,"[apache,rocksdb]"
walmartlabs/concord,"[client,locking,plugin,server]"
code4craft/webmagic,"[html,parser]"
metersphere/metersphere,"[html,parser]"
dashbuilder/dashbuilder,[client]
ForgeRock/openam-community-edition,"[json,resource,servlet]"
opencast/opencast,"[amazon,apache,aws,bundle,esb,sdk,security]"
WeBankFinTech/DataSphereStudio,[protocol]
apache/tomee,"[apache,beans,ejb,security]"
GluuFederation/oxTrust,"[apache,security]"
apache/maven,"[apache,build,build-system,builder,maven]"
camelinaction/camelinaction2,"[container,embedded,jboss,jetty,server,webserver]"
ModeShape/modeshape,"[framework,testing]"
dcm4che/dcm4chee-arc-light,"[admin,client]"
sarl/sarl,"[eclipse,io,plugin]"
sonatype/nexus-public,"[admin,amazon,apache,aws,client,plugin,sdk,security,service]"
dexter/dexter,[wiki]
piranhacloud/piranha,"[cloud,extension]"
microcks/microcks,[github]
alibaba/jvm-sandbox,[api]
