groupId,artifactId
org.jboss.resteasy,resteasy-netty
org.cleartk,cleartk-ml-opennlp-maxent
cn.springcloud.gray,spring-cloud-gray-server-cluster-http-synchro-plugin
org.wildfly.swarm,jgroups-runtime
it.ozimov,spring-boot-freemarker-email
org.apache.camel,camel-rmi
org.gephi,layout-api
com.evolveum.midpoint.repo,security-api
com.github.stefvanschie.inventoryframework,1_15
io.vertx,vertx-web-sstore-cookie
org.dcm4che.tool,dcm4che-tool-emf2sf
org.eclipse.vorto,mapping-target-awsiot
de.dfki.mary,voice-enst-camille-hsmm
org.forgerock.ce.commons,json-resource-servlet
org.glassfish.jersey.ext,jersey-declarative-linking
com.github.stefvanschie.inventoryframework,1_14
com.bladejava,blade-asm
org.thingsboard.common,dao-api
org.apache.camel.quarkus,camel-quarkus-infinispan-deployment
com.github.ignition,ignition-core-samples
org.glassfish.main.ejb,ejb-internal-api
com.azure.resourcemanager,azure-resourcemanager-storage
org.apereo.cas,cas-server-core-cookie
foundation.stack.datamill,core
io.airlift.drift,drift-transport-apache
org.minijax,minijax-core
org.eclipse.jetty.orbit,javax.activation
exclusions,included
org.dcm4che.dcm4chee-arc,dcm4chee-arc-qido
com.walmartlabs.concord.plugins.basic,lock-tasks
org.apache.camel,camel-webhook
org.springframework.boot.maven.it,acme-lib
com.alibaba.rsocket,alibaba-rsocket-spring-boot-starter
cloud.piranha.extension,piranha-extension-tempdir
fr.pilato.elasticsearch.crawler,fscrawler-tika
io.selendroid,selendroid-grid-plugin
org.jboss.resteasy,resteasy-json-p-provider
com.fasterxml.jackson.dataformat,jackson-dataformat-ion
org.metawidget.modules.faces,metawidget-richfaces
it.unibz.inf.ontop,ontop-cli
com.streamxhub.streamx,streamx-flink-packer
org.apache.shenyu,shenyu-register-instance-api
org.sakaiproject,sakai-velocity-tool
org.testingisdocumenting.webtau,webtau-junit5-groovy
org.jboss.xnio,compat-tool
me.snowdrop,istio-common
com.github.thomasdarimont.keycloak,saml-group-idp-mapper
com.yahoo.vespa,vespa-osgi-testrunner
consulo.internal,build.serviceMessages
org.neo4j,neo4j-random-values
co.elastic.apm,apm-redis-common
org.openrdf.sesame,sesame-query
com.github.cbioportal,session-service
org.openhab.core.itests,org.openhab.core.model.thing.testsupport
org.openhab.addons.bundles,org.openhab.binding.bluetooth.ruuvitag
org.nutz,nutz-integration-jedisque
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.nlp4j-model-parser-en-default
com.anoyi.grpc,samples-facade
com.github.mpusher,mpush-netty
org.apache.ignite,ignite-spring-data
com.carrotsearch.thirdparty,simple-xml-safe
org.jenkins-ci.plugins,matrix-auth
org.apache.servicecomb,swagger-generator-core
org.webjars.npm,lodash
com.microsoft.azure,azure-toolkit-ide-appservice-lib
com.bstek.bdf3,bdf3-swfviewer
com.atomgraph,processor
org.nuxeo.ecm.platform,nuxeo-tree-snapshot-core
org.vaadin.alump,ckeditor
net.sf.jpam,jpam
org.openehealth.ipf.commons,ipf-commons-ihe-fhir-r4-audit
com.xkcoding,nacos-naming
org.jboss.forge.addon,facets-api
com.sun.grizzly,grizzly-compat
com.webank.wedatasphere.linkis,linkis-protocol
org.apache.santuario,xmlsec
org.wildfly.galleon-plugins,transformer
org.apache.nifi,nifi-syslog-utils
com.alibaba.database,innodb-heatmap
io.nuls.utxo-accounts-module,utxo-accounts
org.apache.lucene,lucene-analyzers-stempel
com.walmartlabs.concord.server.plugins.ansible,concord-ansible-plugin-client
com.github.xiaoymin,knife4j-spring-boot-starter
org.apache.xmlgraphics,fop-core
io.gravitee.apim.rest.api.standalone,gravitee-apim-rest-api-standalone-container
org.apache.asterix,asterix-lang-sqlpp
io.sarl,io.sarl.eclipse
org.eclipse.paho,org.eclipse.paho.mqttv5.client
io.fabric8,spring-cloud-kubernetes-zipkin
org.gephi,preview-api
consulo,consulo-web-platform-api
com.rabbitmq,http-client
org.apache.tomee,openejb-itests-beans
org.apache.hudi,hudi-flink-client
io.opentracing.contrib,opentracing-interceptors
com.codenvy.onpremises.wsmaster,codenvy-hosted-api-node
org.apache.archiva,archiva-xml-tools
com.google.cloud,google-cloud-monitoring
org.xwiki.platform,xwiki-platform-filter-script
org.eclipse.tesla.shell.ext,tesla-shell-gossip
consulo,consulo-compiler-impl
info.bliki.wiki,bliki-core
io.quarkiverse.neo4j,quarkus-neo4j
com.github.stephenc.monte,monte-screen-recorder
com.navercorp.pinpoint,pinpoint-resttemplate-plugin
net.seninp,jmotif-gi
org.sakaiproject,sakai-kerberos-provider
org.geotools,gt-jts-wrapper
com.alibaba.datax,datax-core
org.apache.helix,metrics-common
org.infinitest.intellij,intellij-annotations
com.artipie,http-client
com.nativelibs4java,anarres-jnaerator
com.massivecraft,MassiveCore
org.apache.cxf.samples,spring-boot-sample-ws-cxf-second-service
org.apache.camel.quarkus,camel-quarkus-sap-netweaver-deployment
com.github.spullara.redis,protocol
org.hjug.refactorfirst.plugin,refactor-first-maven-plugin
org.eobjects.datacleaner,DataCleaner-basic-datastores
org.janusgraph,janusgraph-core
io.jenkins.plugins,git-forensics
org.sonarsource.sonarqube,sonar-ws
com.speedment.jpastreamer,analytics
io.gravitee.apim.rest.api,gravitee-apim-rest-api-spec-converter
org.ldaptive,ldaptive-unboundid
com.sun.faces.test.servlet30,composite2Jar
org.xwiki.platform,xwiki-platform-search-solr-query
org.metawidget.modules.commons,metawidget-beanutils
org.jboss.errai,errai-cdi-jboss
com.google.cloud,cloud-spanner-spring-data-r2dbc
io.grpc,grpc-protobuf-lite
com.google.cloud,spring-cloud-gcp-starter-data-firestore
org.dcache,dcache-vehicles
org.apache.nifi,nifi-proxy-configuration
org.apache.gora,gora-compiler-cli
org.ops4j.pax.web,pax-web-resources-extender
de.keyle,mypet-plugin
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.opennlp-model-ner-nl-person
io.cucumber,cucumber-gherkin
org.apache.hop,hop-transform-synchronizeaftermerge
org.http4k,http4k-core
org.openhab.persistence,org.openhab.persistence.dynamodb
org.mapstruct,itest-immutables-mapping-extras
net.andreinc.aleph,aleph-formatter
org.apache.spark,spark-graphx_2.11
com.github.xkzhangsan,xk-time
org.apache.spark,spark-graphx_2.10
org.apache.spark,spark-graphx_2.12
org.apache.hop,hop-transforms-kafka
org.apache.iotdb,metrics-interface
com.ftpix.homedash.plugins,dockercompose
org.apache.camel,camel-core-reifier
uk.gov.dstl.baleen,baleen-graph-neo4j
edu.illinois.cs.cogcomp,illinois-tokenizer
org.geoserver.community,gs-rest-openapi-generated-model
org.apache.atlas,impala-bridge-shim
org.metawidget.modules.faces,metawidget-icefaces
es.gob.afirma,afirma-crypto-cms
com.networknt,saga-dsl
org.assertj,assertj-joda-time
org.springframework.boot,spring-boot-loader
org.apache.xmlgraphics,fop-transcoder-allinone
co.yixiang,yshop-generator
