groupId,artifactId,mcrTags
org.neo4j.springframework.data,spring-data-neo4j-rx-spring-boot-starter,"database,data,spring,graph,neo4j,starter"
org.apache.camel,camel-webhook,"apache,camel"
com.thinkbiganalytics.kylo,kylo-security-auth-kylo-local,"security,authentication"
io.micronaut,micronaut-inject,"io,dependency-injection"
org.ops4j.pax.web,pax-web-resources-extender,"web,resource"
systems.manifold,manifold-ext-middle-test,testing
org.odpi.egeria,asset-consumer-api,"consumer,api"
com.google.code.maven-scm-provider-svnjava,maven-scm-provider-svnjava,"provider,scm,google,build,build-system,maven"
com.google.code.cli-parser,cli,"parser,google,command-line,cli"
org.geotools,gt-jts-wrapper,geo
org.apache.samza,samza-kv-rocksdb_2.11,"apache,rocksdb"
org.apache.camel,camel-jsonpath,"apache,camel"
com.walmartlabs.concord.plugins.basic,lock-tasks,"plugin,locking"
com.hotels,waggle-dance-rest,rest
org.jboss.errai,errai-cdi-jboss,jboss
com.facebook.airlift,json,"facebook,json"
com.github.stephenc.monte,monte-screen-recorder,github
org.apache.camel.quarkus,camel-quarkus-aws2-msk,"aws,amazon,apache,camel"
com.github.dapeng-soa,dapeng-transaction-api,"github,soa,service,api,transaction"
org.jboss.resteasy,resteasy-netty,"network,socket,jboss,netty"
com.amazonaws,aws-java-sdk-kms,"aws,amazon,sdk"
org.eclipse.jetty,jetty-reactive-httpclient,"server,eclipse,reactive,webserver,jetty,http"
org.wso2.carbon.identity.governance,org.wso2.carbon.identity.api.user.recovery,"api,identity"
com.github.mpusher,mpush-netty,"network,github,socket,netty"
org.apache.nifi,nifi-kite-processors,"apache,processor"
org.kie.kogito,monitoring-elastic-springboot-addon,"monitoring,elastic"
org.apache.xmlgraphics,batik-test-swing,"svg,swing,testing,ui,apache,graphics"
com.facebook.presto,presto-server,"server,facebook"
cn.springcloud.gray,spring-cloud-gray-server-cluster-http-synchro-plugin,"plugin,server,spring,cluster,cloud,http"
org.sonatype.ossindex,ossindex-service-client,"service,client"
org.apache.archiva,archiva-xml-tools,"tools,apache,xml"
org.apache.camel.quarkus,camel-quarkus-jsonpath,"apache,camel"
io.seata,seata-codec-all,"codec,io"
io.gravitee.apim.rest.api.standalone,gravitee-apim-rest-api-standalone-container,"rest,container,io,api"
com.google.cloud,spring-cloud-gcp-starter-cloudfoundry,"google,spring,cloud,starter"
org.apache.hudi,hudi-flink-client,"apache,client"
io.vlingo.xoom,xoom-auth,"authentication,io"
org.apache.shenyu,shenyu-spring-boot-starter-plugin-sofa,"plugin,spring,apache,starter"
org.eclipse.jetty.orbit,javax.activation,"server,eclipse,webserver,jetty"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.opennlp-model-ner-nl-person,model
software.amazon.awssdk,customerprofiles,"aws,amazon"
com.yahoo.vespa,vespa-osgi-testrunner,osgi
org.apache.camel,camel-rmi,"apache,rmi,camel"
com.yomahub,tlog-gateway,gateway
org.glassfish.jersey.ext,jersey-declarative-linking,webservice
org.apache.camel.quarkus,camel-quarkus-infinispan-deployment,"deployment,cache,apache,camel"
com.github.spullara.redis,protocol,"database,github,redis,protocol"
org.apache.nifi,nifi-proxy-configuration,"config,apache,proxy"
com.evolveum.midpoint.repo,security-api,"repository,security,api"
com.fasterxml.jackson.dataformat,jackson-dataformat-ion,json
org.apache.phoenix,phoenix-tracing-webapp,"webapp,apache,tracing"
net.sf.proguard,proguard-gradle,"build,build-system,gradle,groovy"
org.apache.xbean,xbean-asm7-shaded,"apache,bytecode"
org.testcontainers,junit-jupiter,"junit,testing"
org.testfx,testfx-junit5,"junit,testing"
org.apache.camel,camel-core-reifier,"apache,camel"
ro.pippo,pippo-controller,controller
org.metawidget.modules.faces,metawidget-icefaces,module
org.springframework.boot,spring-boot-loader,"loader,spring"
org.xwiki.platform,xwiki-platform-store-merge-default,platform
org.apereo.cas,cas-server-core-cookie,server
org.apache.shenyu,shenyu-spi,"interface,apache"
org.jenkins-ci.plugins,configurationslicing,"plugin,jenkins"
org.apache.commons,commons-proxy,"apache,proxy,commons"
io.cucumber,cucumber-gherkin,io
com.networknt,saga-dsl,dsl
it.ozimov,spring-boot-freemarker-email,"spring,mail,template"
io.selendroid,selendroid-grid-plugin,"plugin,io"
com.github.braisdom,mangosdk-spi,"github,interface"
org.apache.carbondata,carbondata-format,apache
com.github.javafaker,javafaker,github
org.apache.camel.quarkus,camel-quarkus-sap-netweaver-deployment,"deployment,apache,camel"
org.keycloak,keycloak-admin-client,"admin,client"
es.gob.afirma,afirma-crypto-cms,cryptography
org.xwiki.platform,xwiki-platform-filter-script,"filtering,platform,scripting"
com.spotify,zoltar-api,api
org.apache.flink,flink-queryable-state-runtime,"apache,runtime"
it.unibz.inf.ontop,ontop-cli,command-line
com.microsoft.rest,client-runtime,"rest,client,runtime"
net.spy,spymemcached,"cache,client"
org.opendaylight.controller,sal-remoterpc-connector,"connector,controller"
org.apache.edgent.android,edgent-analytics-sensors,"apache,analytics,android"
org.codelibs,analyzers,analyzer
com.github.snksoft,crc,github
org.activiti,activiti-api-task-model,"model,bpm,api"
org.graphfoundation.ongdb,ongdb-geequel-interpreted-runtime,runtime
org.openhab.core.itests,org.openhab.core.model.thing.testsupport,model
com.github.cbioportal,session-service,"github,service"
org.apache.servicemix.examples,camel-cxf-soap-route,"esb,apache,soap,example,camel"
org.eclipse.ditto,ditto-internal-utils-aggregator,"eclipse,aggregation"
org.t-io,tio-websocket-common,"websocket,io"
org.apache.nifi,nifi-syslog-utils,"logging,apache"
io.jenkins.plugins,git-forensics,"plugin,scm,git,jenkins,io"
