packageName,className,methodName,apis
uk.co.flax.luwak.matchers,TestHighlightingMatcher,singleTermQueryMatchesSingleDocument,[junit:junit]
uk.co.flax.luwak.testutils,ParserUtils,parse,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.testutils,TokenStreamUtils,dumpTokenStream,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestQueryDecomposer,testNestedExclusions,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.benchmark,ValidatorResults,getBadDocuments,[com.google.guava:guava]
uk.co.flax.luwak.matchers,CollectingMatcher,doMatch,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testToString,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak,TestMonitorErrorHandling,createMockCache,"[org.apache.lucene:lucene-core,org.mockito:mockito-core]"
uk.co.flax.luwak.termextractor,TestSpanExtractors,testSpanMultiTerms,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor,TestBooleanClauseWeightings,exactClausesPreferred,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor,TestQueryTermComparators,testFieldWeights,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak,TestMonitorPersistence,testMonitorCanAvoidStoringQueries,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.presearcher,DocumentQueryBuilder,build,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponent,adjustQueryDocument,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestCoreLuceneQueryExtractors,checkAllCoreQueriesAreHandled,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core,org.reflections:reflections]"
uk.co.flax.luwak.termextractor.treebuilder,TermInSetQueryTreeBuilder,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak,QueryIndex,numDocs,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestQueryIndex,setUp,[junit:junit]
uk.co.flax.luwak.presearcher,TestWildcardTermPresearcher,filtersWildcards,[junit:junit]
uk.co.flax.luwak,TestQueryTermFilter,indexable,"[com.google.guava:guava,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testComplexPhraseQueryParser,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
uk.co.flax.luwak.presearcher,TestTermPresearcher,testAnyTermsAreCorrectlyAnalyzed,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestQueryIndex,getSumOfIds,"[org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.assertions,HighlightingMatchHitsAssert,"",[org.assertj:assertj-core]
uk.co.flax.luwak.presearcher,PresearcherTestBase,must,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestQueryTermComparators,testTermTypeWeightNorms,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak,Monitor,debug,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.assertions,FieldMatchAssert,"",[org.assertj:assertj-core]
uk.co.flax.luwak.benchmark,ValidatorResults,getExtraMatches,[com.google.guava:guava]
uk.co.flax.luwak.matchers,TestHighlightingMatcher,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak,Monitor,delete,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponentTestBase,testBatchFiltering,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor.weights,TermFrequencyWeightNorm,norm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testDisjunctionWithUnorderedNearSpans,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponentTestBase,testFilteringOnMatchAllQueries,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,PresearcherComponent,adjustQueryDocument,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,SpanRewriter,rewriteUnknown,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,Monitor,buildIndexableQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,HighlightingMatcher,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,PresearcherTestBase,testEmptyMonitorHandling,[junit:junit]
uk.co.flax.luwak.presearcher,TestTermPresearcher,ignoresTermsOnNotQueries,[junit:junit]
uk.co.flax.luwak.termextractor,TestCoreLuceneQueryExtractors,quietLogging,[ch.qos.logback:logback-classic]
uk.co.flax.luwak.termextractor.weights,FieldWeightNorm,norm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,Monitor,clear,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitor,testMutliValuedFieldWithNonDefaultGaps,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak,TestMonitor,testUpdateReporting,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,ExplainingMatch,hashCode,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestBooleanTermExtractor,testMatchAllDocsIsOnlyQuery,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.util,SpanOffsetReportingQuery,getWrappedQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestCachePurging,testQueryCacheCanBePurged,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testDisjunctionWithOrderedNearSpans,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor.weights,TokenLengthNorm,norm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,Benchmark,run,[com.github.flaxsearch:luwak]
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponentTestBase,testDebugQueries,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestMonitorPersistence,teardown,[junit:junit]
uk.co.flax.luwak.assertions,HighlightingMatchAssert,doesNotMatchQuery,[org.assertj:assertj-core]
uk.co.flax.luwak.termextractor,TestExtractors,testPhraseQueryExtractor,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak,QueryCacheEntry,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitorErrorHandling,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.assertions,MatchesAssert,matchesDoc,[org.assertj:assertj-core]
uk.co.flax.luwak.presearcher,TestMultipassPresearcher,testMultipleFields,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,testNestedConjunctions,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,singlePhraseQueryMatchesSingleDocument,[junit:junit]
uk.co.flax.luwak,TestMonitorErrorHandling,testMonitorQueryNullValues,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.presearcher,PresearcherTestBase,should,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,SpanRewriter,rewritePhraseQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,TermFilteredPresearcher,collectTerms,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,MonitorQuery,deserialize,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitor,matchStatisticsAreReported,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestQueryIndex,createDelete,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.assertions,HighlightingMatchHitsAssert,inField,[org.assertj:assertj-core]
uk.co.flax.luwak.queryparsers,FlexibleLuceneQueryParser,getPointsConfig,[org.apache.lucene:lucene-queryparser]
uk.co.flax.luwak,TestQueryDecomposer,testBoostsArePreserved,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.assertions,MatchesAssert,selectedQuery,[org.assertj:assertj-core]
uk.co.flax.luwak.termextractor,QueryAnalyzer,collectTerms,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestExtractors,testDisjunctionMaxExtractor,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.util,SpanExtractor,collect,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,SpanRewriter,rewrite,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,QueryIndex,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestQueryDecomposer,testFilterAndShouldClause,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.util,SpanOffsetReportingQuery,createWeight,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,QueryTreeBuilder,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.querytree,TermNode,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.treebuilder,PayloadScoreQueryTreeBuilder,"",[org.apache.lucene:lucene-queries]
uk.co.flax.luwak.util,TestSpanRewriter,testConstantScoreQuery,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor,QueryTerm,equals,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,ForceNoBulkScoringQuery,getWrappedQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestBooleanTermExtractor,allDisjunctionQueriesAreIncluded,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.benchmark,ValidatorResults,add,"[com.github.flaxsearch:luwak,com.google.guava:guava]"
uk.co.flax.luwak.benchmark,PresearcherMatcher,"",[com.github.flaxsearch:luwak]
uk.co.flax.luwak,QueryDecomposer,listOf,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestInputDocument,testCannotAddReservedFieldObject,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak,TestQueryDecomposer,testNestedDisjunctionMaxDecomposition,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.analysis,TestSuffixingNGramTokenizer,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,MultipassTermFilteredPresearcher,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,SpanOffsetReportingQuery,rewrite,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,MonitorQueryParser,parse,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,Benchmark,validate,[com.github.flaxsearch:luwak]
uk.co.flax.luwak.presearcher,TestWildcardTermPresearcher,caseSensitivity,[junit:junit]
uk.co.flax.luwak,QueryIndex,cacheSize,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.analysis,TestSuffixingNGramTokenizer,testLengthyTokensAreNotNgrammed,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.analysis,TestSuffixingNGramTokenizer,testRepeatedSuffixesAreNotEmitted,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,TestWildcardTermPresearcher,testLongTermsStillMatchWildcards,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-analyzers-common]"
uk.co.flax.luwak.queryparsers,FlexibleLuceneQueryParser,parse,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
uk.co.flax.luwak.termextractor,QueryTerm,toString,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestBooleanTermExtractor,testMatchAllDocsMustAndOtherMustWithKeywordShouldAndKeywordNot,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor,TestExtractors,testConstantScoreQueryExtractor,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testEquality,"[junit:junit,org.assertj:assertj-core]"
