packageName,className,methodName,apis
org.imixs.workflow.engine.index,TestNormalizePhrase,test1,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.util,ValidationException,"",[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,XMLItemCollectionWriter,printXMLItemCollectionHTML,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.plugins,TestSplitAndJoinPlugin,setUp,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine,org.mockito:mockito-all]"
org.imixs.workflow.engine.plugins,IntervalPlugin,evalMacro,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.solr,SolrIndexService,setup,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.util,ImixsJSONParser,parseItem,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.bpmn,TestBPMNParserStartEvent,setUp,[junit:junit]
org.imixs.workflow.engine.scheduler,SchedulerConfigurationService,"",[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.faces.util,LoginController,isAuthenticated,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.jaxrs,ReportRestService,getJSONResult,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine,WorkflowService,findPluginByName,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.adapters,AccessAdapter,"","[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.plugins,MailPlugin,getFrom,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.solr,SolrIndexService,updateSchema,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.solr,SolrSearchService,search,"[org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.jaxrs,ModelRestService,findTasksByGroup,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.xml,TestXMLParser,testParseEventModelTag,[junit:junit]
org.imixs.workflow.engine,DocumentService,getUserNameList,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.engine,WorkflowMockEnvironment,getWorkflowContext,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.plugins,TestApproverResetPlugin,setup,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.mockito:mockito-all]"
org.imixs.workflow.bpmn,TestBPMNParserStartEventFollowUp,setUp,[junit:junit]
org.imixs.workflow.engine,WorkflowScheduler,findSelectorByName,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.jaxrs,DocumentRestService,getHelpHTML,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.plugins,TestRulePlugin,testSimpleWorkitemScript,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.util,TestJSONBuilder,testSimple,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNModelSimple,testModifyFindAllEventsByTask,[junit:junit]
org.imixs.workflow.engine.plugins,MailPlugin,getInternetAddress,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.engine.solr,SolrIndexService,flushEventLogByCount,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.xml,TestXMLParser,testItemXMLContentWhitespace,[junit:junit]
org.imixs.workflow.engine,DocumentService,isCallerAuthor,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine,SimulationService,setCtx,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.engine.plugins,IntervalPlugin,"",[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.plugins,TestMailPlugin,"",[org.imixs.workflow:imixs-workflow-engine]
org.imixs.workflow.plugins,TestResultPlugin,testWhiteSpace,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.xml,TestXMLItem,testListDateValues,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow,TestItemCollection,testCopyItemCollection,[junit:junit]
org.imixs.workflow.engine,TextForEachAdapter,onEvent,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.lucene,ExtendedFacetsExample,drillDown,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet]"
org.imixs.workflow.engine.plugins,OwnerPlugin,"",[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,EventLogRestService,unlockEventLogEntry,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,TestItemCollection,testLocalDateTimeValues,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNModelSimple,testModifyFindAllTasks,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNParserAdapter,testEventAdapter,[junit:junit]
org.imixs.workflow.engine,TestAdaptText,testMultiValueWithNoSeparator,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.adminp,JobHandlerRenameUser,updateWorkitemUserIds,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.scheduler,SchedulerController,stopScheduler,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.faces.data,AbstractDataController,load,"[org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.fileupload,FileUploadController,addAttachedFile,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,RootRestService,getRoot,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.plugins,TestResultPlugin,setUp,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.xml,XMLDocumentAdapter,readItemCollection,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow,TestWorkflowKernelEval,setup,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNParserCollaborationMinutes,testSimple,[junit:junit]
org.imixs.workflow.engine,ReportService,updateReport,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.lucene,LuceneIndexService,addItemValues,"[org.apache.lucene:lucene-core,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow,TestItemCollection,testLocalDateValues,[junit:junit]
org.imixs.workflow.engine,DocumentService,isAuthor,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.adapters,TestAccessAdapterProcessEntity,"","[org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.lucene,LuceneIndexService,flushEventLogByCount,"[jakarta.platform:jakarta.jakartaee-api,org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.plugins,ApplicationPlugin,run,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.plugins,MailPlugin,getMailSession,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.faces.data,DocumentController,create,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.jaxrs,WorkflowRestService,postTypedWorkitemJSON,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.plugins,TestRulePlugin,testUpdateActivityByScript,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,TestItemCollection,testGetItemValueNumberNull,[junit:junit]
org.imixs.workflow.engine,TestWorkflowServiceGateways,setup,"[junit:junit,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine,WorkflowService,getWorkListByCreator,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
