packageName,className,methodName,apis
ciir.umass.edu.eval,EvaluatorTest,testLinearReg,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,checkIfArray,[com.google.code.gson:gson]
edu.cmu.lti.oaqa.nmslib,ReplyEntry,setDistIsSet,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainCEDRWithScores,readAddOptions,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.letor,SingleFieldFeatExtractor,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,readObject,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.utils,VectorUtils,interleaveVectors,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.apps,FilterVocabulary,UsageSpecify,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,readObject,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,isArray,[com.google.code.gson:gson]
edu.cmu.lti.oaqa.flexneuart.utils,XmlIteratorTest,test7,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,writeObject,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.nmslib,ReplyEntry,setObj,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,getParamIntArray,[com.google.code.gson:gson]
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryRaw,setId,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.utils,CompressUtilsTest,doTestCompr,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainCEDRWithScores,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.cand_providers,LuceneCandidateProvider,getCandidates,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryRaw,writeObject,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,"",[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryParsed,getFieldValue,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,getParamInt,[com.google.code.gson:gson]
edu.cmu.lti.oaqa.flexneuart.apps,ExportToNMSLIBDenseSparseFusion,main,"[args4j:args4j,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrModel1Similarity,getFeaturesMappedIds,"[com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,getParam,[com.google.code.gson:gson]
ciir.umass.edu.eval,EvaluatorTest,testListNet,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.apps,FilterTranTable,showUsage,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.apps,LuceneIndexer,"","[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,validate,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryRaw,read,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,"",[com.google.code.gson:gson]
edu.cmu.lti.oaqa.flexneuart.apps,BaseQueryApp,parseAndReadOpts,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
