packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
net.semanticmetadata.lire.searchers,TestSearching,testSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",25,25,1.0
net.semanticmetadata.lire.benchmarking,UCIDBenchmark,testSearchSpeed,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",24,24,1.0
net.semanticmetadata.lire.imageanalysis.features.local.shapecontext,ShapeContextExtractor,calculateRadiusMatrix,org.apache.commons:commons-math3,Math Libraries,"math,apache,commons",17,17,1.0
net.semanticmetadata.lire.impl,ChainedDocumentBuilder,createDescriptorFields,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
net.semanticmetadata.lire.impl,ParallelImageSearcher,search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,15,1.0
net.semanticmetadata.lire,CreateIndexTest,indexFiles,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
net.semanticmetadata.lire.imageanalysis.features,TestCentrist,testExtractionSpatialPyramidCentrist,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.benchmarking,TestPascalVOC2007,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.invertedlist,GeneralInvertedListTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire,GeneralTest,getTag,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
net.semanticmetadata.lire.benchmarking,TestTruthFile,testPerformance,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
net.semanticmetadata.lire.benchmarking,TestZuBuD,testMAP,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",58,58,1.0
net.semanticmetadata.lire.imageanalysis.bovw,BOVWBuilder,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",32,32,1.0
liredemo.flickr,SinglePhotoThread,run,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",14,14,1.0
net.semanticmetadata.lire.imageanalysis,OpponentHistogramTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.impl,GenericImageSearcher,findDuplicates,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,21,1.0
net.semanticmetadata.lire.searchers,GenericFastImageSearcher,findDuplicates,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",35,35,1.0
net.semanticmetadata.lire.searchers,ImageSearcher,relevanceFeedback,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
net.semanticmetadata.lire.searchers,MetricSpacesImageSearcher,findDuplicates,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.searchers,SearchHitsFilter,filter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
liredemo.indexing,ParallelIndexer,getNext,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
net.semanticmetadata.lire.benchmarking,TestUniversal,testMAP,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",36,36,1.0
net.semanticmetadata.lire.indexing.fastmap,FastMapTest,testIterativeFastMap,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
net.semanticmetadata.lire,CreateIndexTest,testCreateIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
net.semanticmetadata.lire,GeneralTest,testClassify,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire,RuntimeTest,testCreateIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
net.semanticmetadata.lire.benchmarking,TestTruthFile,getRecall,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire.benchmarking,TestWang,indexFiles,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
net.semanticmetadata.lire.benchmarking.custom,AloiTest,testSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire.imageanalysis.bovw,SimpleFeatureBOVWBuilder,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,12,1.0
net.semanticmetadata.lire.utils,SerializationUtilsTest,testByteCompression,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
net.semanticmetadata.lire,CvLocalTest,setUp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.imageanalysis,PHOGTest,testSerialization,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.indexers.tools.text,LuceneIndexWriter,finishWriting,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire.searchers,GenericDocValuesImageSearcher,findSimilar,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",23,23,1.0
net.semanticmetadata.lire.benchmarking,TestWang,testParallelMAP,junit:junit,Testing Frameworks,"testing,junit",4,11,0.36
net.semanticmetadata.lire.benchmarking,TestWang,testParallelMAP,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,11,0.64
net.semanticmetadata.lire.imageanalysis.features.local.opencvfeatures,CvSurfExtractor,extract,nu.pattern:opencv,Computer Vision,"pattern,computer-vision,ai",52,52,1.0
net.semanticmetadata.lire,RuntimeTest,indexFiles,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,rerank,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",35,35,1.0
net.semanticmetadata.lire.builders,GlobalDocumentBuilder,createDocument,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,16,1.0
liredemo.indexing,MetadataBuilder,createDescriptorFields,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.builders,GlobalDocumentBuilder,getGlobalDescriptorFields,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",32,32,1.0
net.semanticmetadata.lire.impl,SiftDocumentBuilder,createDescriptorFields,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
net.semanticmetadata.lire,TestImageSearcher,testSimpleColorHistogramSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
net.semanticmetadata.lire.builders,DocumentBuilder,createDocument,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.imageanalysis.features.local.surf,SurfFeature,"",com.sangupta:jopensurf,"","",9,9,1.0
samples,Search,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
net.semanticmetadata.lire,GeneralTest,testReadIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",33,33,1.0
net.semanticmetadata.lire.searchers,VisualWordsImageSearcher,findDuplicates,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire,TestImageSearcher,testMSERHistogramSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
net.semanticmetadata.lire.benchmarking,TestNister,computePrecision,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,18,1.0
net.semanticmetadata.lire.imageanalysis.features.local.opencvfeatures,CvSurfExtractor,"",nu.pattern:opencv,Computer Vision,"pattern,computer-vision,ai",2,2,1.0
net.semanticmetadata.lire.utils,FileUtilsTest,testListFiles,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
net.semanticmetadata.lire,VisualWordsTest,testWikiCreateIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
net.semanticmetadata.lire.applications,GlobalFeatureIndexSearchTest,testSearchDocValues,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
net.semanticmetadata.lire.benchmarking.custom,TwicTest,testSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
liredemo,LireDemoFrame,spinnerCurrentDocNumStateChanged,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire.imageanalysis.bovw,BOVWBuilder,selectVocabularyDocs,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderKmeansPlusPlus,index,org.apache.commons:commons-math3,Math Libraries,"math,apache,commons",30,101,0.3
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderKmeansPlusPlus,index,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",71,101,0.7
net.semanticmetadata.lire.indexers.tools.text,ParallelExtraction,"",commons-io:commons-io,I/O Utilities,io,2,4,0.5
net.semanticmetadata.lire.indexers.tools.text,ParallelExtraction,"",commons-codec:commons-codec,Base64 Libraries,"codec,base64,encoding",2,4,0.5
net.semanticmetadata.lire.indexing,MetricSpacesInvertedListIndexing,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
net.semanticmetadata.lire.filter,FilterTest,testRerankFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
net.semanticmetadata.lire.searchers,ImageSearcher,findDuplicates,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.applications,GlobalFeatureIndexSearchTest,testSearchPlain,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
net.semanticmetadata.lire,GeneralTest,testCreateAndSearchSmallIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",28,29,0.97
net.semanticmetadata.lire,GeneralTest,testCreateAndSearchSmallIndex,junit:junit,Testing Frameworks,"testing,junit",1,29,0.03
net.semanticmetadata.lire.searchers.custom,SingleNddCeddImageSearcher,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
net.semanticmetadata.lire.searchers.forevaluations,GenericFastImageSearcherForEvaluation,search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",22,22,1.0
net.semanticmetadata.lire.indexers.hashing,MetricSpacesTest,setUp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.impl,ParallelImageSearcher,findDuplicates,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.benchmarking,TestWang,doParams,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
edu.uniklu.itec.mosaix,ImageFunctions,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.classifiers,HashingSearchBasedClassifierMod,testClassifyFashionThreeCombinedFeaturesMulti,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,15,1.0
net.semanticmetadata.lire.indexing,IndexVisualWordsTest,testIndexMissingFiles,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",22,22,1.0
net.semanticmetadata.lire.sampleapp,IndexingAndSearchWithLocalFeatures,search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
liredemo.flickr,FlickrDownloadThread,addDocumentToFinished,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire,VisualWordsTest,testWikiSearchIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
net.semanticmetadata.lire.benchmarking,SerializationTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.indexers.parallel,ParallelIndexer,selectVocabularyDocs,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,21,1.0
net.semanticmetadata.lire.indexing,MetricSpacesInvertedListIndexing,createIndex,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",5,71,0.07
net.semanticmetadata.lire.indexing,MetricSpacesInvertedListIndexing,createIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",66,71,0.93
net.semanticmetadata.lire.searchers,ImageSearcherUsingWSs,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire.utils,LuceneUtils,createIndexWriter,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",5,64,0.08
net.semanticmetadata.lire.utils,LuceneUtils,createIndexWriter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",59,64,0.92
net.semanticmetadata.lire.utils,QuantizationUtilsTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.classifiers,ClassifierTest,testClassifyFashionCombinedFeatures,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
net.semanticmetadata.lire,ArffGeneratorTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.indexers.tools.text,LuceneIndexWriter,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",22,22,1.0
net.semanticmetadata.lire.indexers.tools.text,AbstractDocumentWriter,run,commons-codec:commons-codec,Base64 Libraries,"codec,base64,encoding",2,13,0.15
net.semanticmetadata.lire.indexers.tools.text,AbstractDocumentWriter,run,commons-io:commons-io,I/O Utilities,io,11,13,0.85
net.semanticmetadata.lire.searchers.custom,SingleNddCeddImageSearcher,search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",19,19,1.0
net.semanticmetadata.lire.benchmarking,SerializationTest,testPerformance,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.imageanalysis,BinaryPatternsPyramidTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.benchmarking,TestZuBuD,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,3,0.33
net.semanticmetadata.lire.benchmarking,TestZuBuD,"",junit:junit,Testing Frameworks,"testing,junit",2,3,0.67
net.semanticmetadata.lire.imageanalysis.bovw,SiftFeatureHistogramBuilder,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
liredemo,LireDemoFrame,buttonStartMosaicingActionPerformed,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
net.semanticmetadata.lire,VisualWordsTest,testIndexingAndSearchSift,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,16,0.06
net.semanticmetadata.lire,VisualWordsTest,testIndexingAndSearchSift,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,16,0.94
net.semanticmetadata.lire.classifiers,ClassifierTest,testClassifyFashionThreeCombinedFeaturesMulti,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,15,1.0
net.semanticmetadata.lire.imageanalysis.bovw,VLADBuilder,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",32,32,1.0
net.semanticmetadata.lire.imageanalysis.features.local.surf,SurfExtractor,extract,com.sangupta:jopensurf,"","",8,8,1.0
net.semanticmetadata.lire.indexers,LireCustomCodec,storedFieldsFormat,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
