packageName,className,methodName,apis
net.semanticmetadata.lire.searchers.forevaluations,GenericFastImageSearcherForEvaluation,findDuplicates,[org.apache.lucene:lucene-core]
liredemo,LireDemoFrame,searchForImage,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,GeneralTest,testDuplicatesInIndex,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,SurfDocumentBuilder,createDescriptorFields,"[com.sangupta:jopensurf,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.benchmarking,TestUniversal,"",[junit:junit]
net.semanticmetadata.lire.imageanalysis.features.local.opencvfeatures,CvSurfExtractor,computeSurfKeypoints,[nu.pattern:opencv]
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,"",[junit:junit]
net.semanticmetadata.lire.searchers.forevaluations,ImageSearcherUsingWSsForEvaluation,computeFeatureCache,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,MserTest,testExtendedIndexMSER,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.impl,SurfDocumentBuilder,createDocument,"[com.sangupta:jopensurf,org.apache.lucene:lucene-core]"
edu.uniklu.itec.mosaix,ImageFunctions,"",[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,CreateIndexTest,indexFilesMultithreaded,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestWang,findDoc,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,TestExtraction,"",[junit:junit]
net.semanticmetadata.lire.imageanalysis.features,TestGlobalFeature,testSerialization,[junit:junit]
net.semanticmetadata.lire,TestImageSearcher,testFindDuplicates,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.sift,TestLocalFeatureHistogram,testCreateLocalFeatureHistogram,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers,MetricSpacesImageSearcher,searchWithDocValues,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
net.semanticmetadata.lire.indexing,VladTest,testIndexing,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestUCID,testMAP,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers,GenericFastImageSearcher,search,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking.custom,AloiTest,setUp,[junit:junit]
edu.uniklu.itec.mosaix.engine,WeightingDataFactory,newInstance,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking.custom,ProfimediaTest,testSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,FCTHTest,testExtraction,[junit:junit]
net.semanticmetadata.lire.indexing,HashingTest,testSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,IndexVisualWordsTest,testIndexSurfHistogram,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.builders,GlobalDocumentBuilder,createDescriptorFields,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,SimpleTest,testSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestGeneral,indexFiles,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.builders,AbstractLocalDocumentBuilder,createLocalDescriptorFields,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestZuBuD,"","[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.features,TestGlobalFeature,"",[junit:junit]
net.semanticmetadata.lire.sampleapp,ExtractMultipleFeatures,main,[commons-io:commons-io]
net.semanticmetadata.lire.imageanalysis.sift,TestLocalFeatureHistogram,testSiftIndexing,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,VladTest,setUp,[junit:junit]
net.semanticmetadata.lire.indexing.fastmap,FastMapTest,"","[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers,LshImageSearcher,findDuplicates,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.bovw,BOVWBuilder,index,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers,GenericDocValuesImageSearcher,findDuplicates,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers,TestSearching,testSeparateIndex,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,TestImageSearcher,testCorrelationSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,LuminanceLayoutTest,"",[junit:junit]
net.semanticmetadata.lire.utils,SerializationUtilsTest,testSerialization,[junit:junit]
net.semanticmetadata.lire.classifiers,ClassifierTest,testClassifyFashion,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,OpponentHistogramTest,testFromString,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexers.tools.text,ParallelExtraction,run,[commons-io:commons-io]
net.semanticmetadata.lire.utils,LuceneUtils,openIndexSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexers.hashing,MetricSpacesTest,testSearchAccuracy,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,HashingTest,printToHtml,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,singleSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,RuntimeTest,testCreateCorrelogramIndex,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.classifiers,ClassifierTest,testClassifyNCombinedFeaturesMulti,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,HashingTest,testImageSearcher,[org.apache.lucene:lucene-core]
liredemo,LireDemoFrame,rerankLsaActionPerformed,[org.apache.lucene:lucene-core]
