packageName,className,apis
edu.cmu.lti.oaqa.flexneuart.letor,DataPointWrapper,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.fwdindx,ForwardIndexTextInMem,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrSDMSimilarity,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.simil,SparseCosineTest,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.utils,QrelReader,[commons-io:commons-io]
edu.cmu.lti.oaqa.flexneuart.cand_providers,LuceneCandidateProvider,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.utils,CleanerUtil,[org.htmlparser:htmlparser]
edu.cmu.lti.oaqa.flexneuart.utils,XmlIteratorTest,"[junit:junit,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,BaseQueryApp,"[com.googlecode.matrix-toolkits-java:mtj,commons-cli:commons-cli,org.apache.commons:commons-math3,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.utils,StringUtilsTest,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.giza,GizaTranTableReaderAndRecoder,"[net.openhft:koloboke-api-jdk6-7,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.nmslib,QueryException,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.letor,FeatureExtractor,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.apps,FilterTranTable,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.simil,LCSTest,"[junit:junit,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryParsed,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.simil_func,BM25CloseUnorderPairSimilQueryNorm,[net.openhft:koloboke-api-jdk6-7]
edu.cmu.lti.oaqa.flexneuart.apps,BaseProcessingUnit,"[com.googlecode.matrix-toolkits-java:mtj,org.apache.commons:commons-math3,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrModel1Similarity,"[com.googlecode.matrix-toolkits-java:mtj,net.openhft:koloboke-api-jdk6-7,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,AnswBasedQRELGenWorker,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrTFIDFSimilarity,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrBM25ClosePairSimilarity,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbKeyIterator,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
ciir.umass.edu.eval,EvaluatorTest,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.simil,WMDTest,"[junit:junit,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,BuildFwdIndexApp,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,YahooAnswersCollectionSplitter,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.fwdindx,ForwardIndex,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.letor,SingleFieldInnerProdFeatExtractor,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.letor.external,ExternalScorer,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.fwdindx,FrequentIndexWordFilterAndRecoder,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.resources,ResourceManager,"[com.googlecode.matrix-toolkits-java:mtj,commons-io:commons-io,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainPairs,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.cand_providers,TrecRunCandidateProvider,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.apps,ExportToNMSLIBSparse,"[args4j:args4j,com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,CollectionSplitterBase,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrDenseDocEmbedDotProdSimilarity,"[com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtractorRM3Similarity,"[com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.simil,LCSIntTest,"[junit:junit,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart,AbstractTest,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.apps,CreateBitextFromQRELs,"[args4j:args4j,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainCEDR,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
