packageName,className,apis
zemberek.morphology.old_ambiguity,AmbiguityStats,[com.google.guava:guava]
zemberek.morphology.analysis,VerbDerivationTest,[junit:junit]
zemberek.morphology.old_ambiguity,PerceptronDisambiguatorPort,[com.google.guava:guava]
zemberek.embedding,DistanceBasedStemmer,[com.google.guava:guava]
zemberek.scratchpad,DictionaryOperations,[com.google.guava:guava]
zemberek.normalization,NoisyWordsLexiconGenerator,[com.google.guava:guava]
zemberek.core.hash,MultiLevelMphfTest,"[com.google.guava:guava,junit:junit]"
zemberek.classification,FastTextClassifier,[com.google.guava:guava]
zemberek.morphology,TurkishMorphology,[com.google.guava:guava]
zemberek.morphology.analysis,RuleBasedAnalyzer,[com.google.guava:guava]
zemberek.core.turkish,StemAndEnding,[com.google.guava:guava]
zemberek.corpus,CorpusDb,"[com.google.guava:guava,com.h2database:h2]"
zemberek.lm.backoff,SimpleBackoffNgramModel,[com.google.guava:guava]
zemberek.apps.ner,TrainNerModel,[com.beust:jcommander]
zemberek.classification,FastTextClassifierTrainer,[com.google.guava:guava]
zemberek.core.io,Bytes,[com.google.guava:guava]
zemberek.corpus,Scripts,[com.google.guava:guava]
zemberek.dependency,ConllTreebankReader,[com.google.guava:guava]
zemberek.core.collections,IntMapTest,"[com.google.guava:guava,junit:junit]"
zemberek.apps,ApplicationRunner,[com.google.guava:guava]
zemberek.core.io,SimpleTextReaderTest,"[com.google.guava:guava,junit:junit]"
zemberek.langid,ConfusionTest,[com.google.guava:guava]
zemberek.core.io,LineIterator,[com.google.guava:guava]
zemberek.apps.lm,GenerateVocabulary,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.lm.compression,UncompressedToSmoothLmConverter,[com.google.guava:guava]
zemberek.morphology.analysis,SpeedTest,"[com.google.guava:guava,junit:junit]"
zemberek.core.hash,IntArrayKeyProvider,[com.google.guava:guava]
zemberek.langid.model,CompressedCharNgramModel,[com.google.guava:guava]
zemberek.core.collections,IntValueMapTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,AdjectivesTest,[junit:junit]
zemberek.core.collections,IntVectorTest,[junit:junit]
zemberek.core.io,StringsTest,[junit:junit]
zemberek.morphology.analysis,CoverageTest,"[com.google.guava:guava,junit:junit]"
zemberek.ner,NerDataSetTest,[junit:junit]
zemberek.tokenization,TurkishSentenceExtractor,[com.google.guava:guava]
zemberek.core.collections,IntIntMapTest,"[com.google.guava:guava,junit:junit]"
zemberek.normalization,CharacterGraphDecoderTest,"[com.google.guava:guava,junit:junit]"
zemberek.apps.fasttext,EvaluateClassifier,[com.beust:jcommander]
zemberek.lm.compression,MultiFileUncompressedLm,[com.google.guava:guava]
zemberek.ner,NerExperiment,[com.google.guava:guava]
