packageName,className,apis
net.semanticmetadata.lire.searchers,VisualWordsImageSearcher,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
net.semanticmetadata.lire.benchmarking,TestUCID,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.features.local.surf,SurfExtractor,[com.sangupta:jopensurf]
net.semanticmetadata.lire.benchmarking,TestNister,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,EdgeHistogramTest,[junit:junit]
net.semanticmetadata.lire,SimpleTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.bovw,VLADBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,GenericDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,FuzzyColorHistogramTest,[junit:junit]
net.semanticmetadata.lire.indexers.parallel,ParallelIndexer,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexers.tools.text,ParallelExtraction,"[commons-codec:commons-codec,commons-io:commons-io]"
net.semanticmetadata.lire.imageanalysis,FCTHTest,[junit:junit]
net.semanticmetadata.lire.indexers,TestIndexing,[junit:junit]
net.semanticmetadata.lire.classifiers,TestKMeans,[junit:junit]
liredemo.flickr,FlickrIndexingThread,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,FuzzyColorTest,[junit:junit]
net.semanticmetadata.lire.searchers,LshImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestPascalVOC2007,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,GaborTest,[junit:junit]
net.semanticmetadata.lire.indexers.tools.text,LuceneIndexWriter,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.sampleapp,ExtractMultipleFeatures,[commons-io:commons-io]
net.semanticmetadata.lire.searchers,AbstractImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.features,TestCentrist,[junit:junit]
net.semanticmetadata.lire.utils,SerializationUtilsTest,[junit:junit]
net.semanticmetadata.lire.impl,DocumentFactory,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,CEDDTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,TamuraTest,[junit:junit]
net.semanticmetadata.lire.indexers.tools.binary,ProximityHashingIndexor,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.bovw,SimpleFeatureBOVWBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.sift,TestLocalFeatureHistogram,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire,AbstractDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,AutoColorCorrelogramTest,[junit:junit]
net.semanticmetadata.lire.benchmarking.custom,TwicTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.utils,ImageUtilsTest,[junit:junit]
net.semanticmetadata.lire.benchmarking.custom,AloiTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.benchmarking,TestGroundTruth,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,ColorLayoutTest,[junit:junit]
net.semanticmetadata.lire.utils,FileUtils,"[commons-io:commons-io,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,JCDTest,[junit:junit]
net.semanticmetadata.lire.imageanalysis.bovw,SimpleFeatureVLADBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers,ImageSearcherUsingWSs,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,CvSurfDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,IndexVisualWordsTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexing,VladTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.bovw,BOVWBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexers.tools.text,AbstractDocumentWriter,"[commons-codec:commons-codec,commons-io:commons-io]"
net.semanticmetadata.lire,MserTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire,TestProperties,[junit:junit]
net.semanticmetadata.lire.benchmarking,TestGeneral,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire,RuntimeTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers,GenericDocValuesImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.utils,FileUtilsTest,[junit:junit]
samples,Search,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestWang,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.sampleapp,IndexingAndSearchWithLocalFeatures,[org.apache.lucene:lucene-core]
liredemo.flickr,FlickrDownloadThread,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.features,TestACCID,[junit:junit]
net.semanticmetadata.lire.benchmarking,TestHashingIndex,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexing,MetricSpacesInvertedListIndexing,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.filter,FilterTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.utils,MetricsUtilsTest,[junit:junit]
net.semanticmetadata.lire.indexers,LireCustomCodec,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.features.local.shapecontext,ShapeContextExtractor,[org.apache.commons:commons-math3]
net.semanticmetadata.lire.imageanalysis.bovw,SiftFeatureHistogramBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.filters,RerankFilter,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.sampleapp,ExtractFeatures,[commons-io:commons-io]
net.semanticmetadata.lire.imageanalysis,HashingTest,[junit:junit]
net.semanticmetadata.lire,GeneralTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,LocalBinaryPatternsTest,[junit:junit]
net.semanticmetadata.lire.indexers,DocValuesTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers,FastOpponentImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.bovw,SurfFeatureHistogramBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,ParallelImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,GenericImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers.forevaluations,ImageSearcherUsingWSsForEvaluation,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers.forevaluations,GenericFastImageSearcherForEvaluation,[org.apache.lucene:lucene-core]
edu.uniklu.itec.mosaix.engine,SimpleWeightingDataFactory,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,TestImageSearcher,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.builders,AbstractLocalDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers.custom,SingleNddCeddImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking.custom,ProfimediaTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers,MetricSpacesImageSearcher,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
net.semanticmetadata.lire.imageanalysis,MSERTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,SimpleHistogramTest,[junit:junit]
net.semanticmetadata.lire.imageanalysis,TestJointHistogram,[junit:junit]
net.semanticmetadata.lire.benchmarking,TestTruthFile,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,ScalableColorTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexing,HashingTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire,ArffGeneratorTest,[junit:junit]
net.semanticmetadata.lire.imageanalysis,SurfMserTest,"[com.sangupta:jopensurf,junit:junit]"
net.semanticmetadata.lire.imageanalysis.features.local.opencvfeatures,CvSurfExtractor,[nu.pattern:opencv]
net.semanticmetadata.lire.imageanalysis.filters,CannyEdgeDetectorTest,[junit:junit]
net.semanticmetadata.lire.lucene,TestRerankTextSearch,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
net.semanticmetadata.lire.impl,SiftDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.utils,LuceneUtils,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.features.local.opencvfeatures,CvSiftExtractor,[nu.pattern:opencv]
net.semanticmetadata.lire.benchmarking,TestSimple,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.impl,ChainedDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.features.local.sift,FloatArray2DScaleOctaveDoGDetector,[org.apache.commons:commons-math3]
