packageName,className,apis
uk.co.flax.luwak.matchers,TestHighlightingMatcher,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,HighlightingMatcher,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestConcurrentQueryLoader,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor,DumpQueryTree,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,QueryCacheEntry,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitorErrorHandling,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.assertj:assertj-core,org.mockito:mockito-core]"
uk.co.flax.luwak.util,TestSpanRewriter,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.presearcher,DocumentQueryBuilder,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,SimpleMatcher,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,QueryIndex,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,QueryTreeBuilder,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.querytree,TermNode,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.treebuilder,PayloadScoreQueryTreeBuilder,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queries]"
uk.co.flax.luwak.benchmark,PresearcherMatcher,"[com.github.flaxsearch:luwak,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,TestWildcardTermPresearcher,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.analysis,TestSuffixingNGramTokenizer,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,MultipassTermFilteredPresearcher,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.assertions,HighlightingMatchAssert,[org.assertj:assertj-core]
uk.co.flax.luwak,TestCachePurging,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,TestSimpleMatcher,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.testutils,TokenStreamUtils,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,CollectingMatcher,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,CollectionUtils,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.weights,FieldWeightNorm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,MatchAllPresearcher,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,TestPresearcherMatchCollector,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor.weights,TermWeightNorm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,TestForceNoBulkScoringQuery,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestInputDocument,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor.treebuilder,BooleanQueryTreeBuilder,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.assertions,TokenStreamAssert,"[org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,InputDocument,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak,QueryDecomposer,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.demo,LuwakDemo,"[com.google.guava:guava,org.apache.lucene:lucene-core]"
